code,display_name,price,high,low
000710.XSHE,贝瑞基因,33.1,98.0,30.2
000090.XSHE,天健集团,6.3,9.8,5.4
002123.XSHE,梦网科技,14.6,24.3,13.0
603208.XSHG,江山欧派,115.1,158.0,86.7
300226.XSHE,上海钢联,63.6,90.7,51.3
601222.XSHG,林洋能源,7.0,9.4,5.4
601811.XSHG,新华文轩,9.9,14.9,8.1
600682.XSHG,南京新百,9.2,17.8,8.5
600120.XSHG,浙江东方,5.6,8.7,5.2
300815.XSHE,玉禾田,90.7,151.3,75.3
603708.XSHG,家家悦,20.6,49.4,18.8
000062.XSHE,深圳华强,12.1,20.3,10.8
600037.XSHG,歌华有线,9.1,16.0,7.9
600185.XSHG,格力地产,6.1,18.1,5.1
300118.XSHE,东方日升,14.1,32.0,13.0
300821.XSHE,东岳硅材,10.7,18.0,8.8
300348.XSHE,长亮科技,17.8,28.2,15.9
600546.XSHG,山煤国际,6.5,16.7,5.7
002332.XSHE,仙琚制药,13.0,18.9,10.9
000088.XSHE,盐田港,5.7,10.3,5.2
002351.XSHE,漫步者,15.0,24.0,11.0
300369.XSHE,绿盟科技,16.7,27.6,12.0
002755.XSHE,奥赛康,14.5,22.3,12.2
688106.XSHG,金宏气体,27.8,59.4,23.3
601330.XSHG,绿色动力,9.7,17.7,7.6
600216.XSHG,浙江医药,14.1,22.3,12.4
002273.XSHE,水晶光电,11.3,20.9,10.2
300674.XSHE,宇信科技,33.5,69.5,27.2
002237.XSHE,恒邦股份,12.1,20.8,11.3
000555.XSHE,神州信息,14.3,21.2,12.6
601512.XSHG,中新集团,9.3,16.5,8.8
002793.XSHE,罗欣药业,9.6,18.9,9.0
002436.XSHE,兴森科技,9.5,17.9,7.9
601827.XSHG,三峰环境,8.4,12.0,6.8
300315.XSHE,掌趣科技,5.1,10.1,4.7
603520.XSHG,司太立,58.0,98.5,52.9
300567.XSHE,精测电子,57.8,88.0,45.9
600273.XSHG,嘉化能源,10.1,13.9,7.9
000818.XSHE,航锦科技,21.2,36.8,17.6
300456.XSHE,赛微电子,22.7,37.6,18.9
600373.XSHG,中文传媒,10.7,18.1,9.1
000997.XSHE,新大陆,13.9,21.8,12.7
603533.XSHG,掌阅科技,33.4,58.2,29.8
300768.XSHE,迪普科技,36.8,58.5,34.6
300376.XSHE,易事特,6.4,13.5,6.0
600812.XSHG,华北制药,9.0,20.2,8.4
000016.XSHE,深康佳A,6.2,13.5,5.7
300761.XSHE,立华股份,36.8,78.0,29.8
002268.XSHE,卫士通,17.6,33.7,15.5
688298.XSHG,东方生物,129.0,284.2,120.3
300702.XSHE,天宇股份,80.5,129.6,75.5
300271.XSHE,华宇软件,18.8,34.0,17.1
300682.XSHE,朗新科技,15.3,23.9,12.2
300058.XSHE,蓝色光标,6.3,9.9,5.5
002320.XSHE,海峡股份,10.6,15.4,7.6
601609.XSHG,金田铜业,10.8,15.7,9.2
300017.XSHE,网宿科技,6.5,12.6,5.9
688001.XSHG,华兴源创,36.2,78.3,29.9
603927.XSHG,中科软,38.6,108.0,32.6
000990.XSHE,诚志股份,13.3,22.0,10.4
000877.XSHE,天山股份,16.4,25.3,13.1
600566.XSHG,济川药业,19.9,32.2,18.4
000672.XSHE,上峰水泥,21.9,32.0,16.6
600131.XSHG,国网信通,14.9,26.3,13.2
601869.XSHG,长飞光纤,23.9,43.5,21.4
600667.XSHG,太极实业,8.6,16.0,7.5
601778.XSHG,晶科科技,6.8,10.5,5.7
600764.XSHG,中国海防,27.4,48.0,25.2
600126.XSHG,杭钢股份,6.0,10.8,4.9
002110.XSHE,三钢闽光,8.4,10.5,6.1
300861.XSHE,美畅股份,54.3,85.0,43.2
600201.XSHG,生物股份,19.5,31.1,18.5
688055.XSHG,龙腾光电,6.6,15.2,6.2
600498.XSHG,烽火通信,18.9,41.5,17.9
603983.XSHG,丸美股份,56.4,92.5,44.6
002212.XSHE,天融信,19.3,32.3,18.1
002127.XSHE,南极电商,9.3,24.4,8.7
600271.XSHG,航天信息,12.3,25.6,10.3
002465.XSHE,海格通信,9.9,16.0,8.7
002683.XSHE,宏大爆破,30.7,66.4,29.0
002075.XSHE,沙钢股份,10.5,16.9,8.6
300009.XSHE,安科生物,17.0,22.4,13.3
002065.XSHE,东华软件,7.5,17.6,6.9
600529.XSHG,山东药玻,39.1,76.8,35.4
600167.XSHG,联美控股,10.2,16.0,9.5
002019.XSHE,亿帆医药,19.2,34.4,16.7
002626.XSHE,金达威,39.2,64.5,29.5
300070.XSHE,碧水源,7.6,11.8,6.8
300773.XSHE,拉卡拉,30.4,49.3,27.1
600867.XSHG,通化东宝,12.1,19.1,9.9
002399.XSHE,海普瑞,17.1,30.7,16.2
688029.XSHG,南微医学,191.3,283.0,162.0
002242.XSHE,九阳股份,33.4,46.0,27.5
600380.XSHG,健康元,13.1,22.5,11.4
002081.XSHE,金螳螂,9.6,13.5,7.9
000975.XSHE,银泰黄金,9.3,14.8,7.7
300482.XSHE,万孚生物,76.5,111.0,64.1
300383.XSHE,光环新网,17.0,31.5,15.8
600988.XSHG,赤峰黄金,15.9,25.4,13.8
002152.XSHE,广电运通,10.7,16.3,8.4
603444.XSHG,吉比特,370.3,671.6,296.3
300418.XSHE,昆仑万维,22.8,31.1,18.5
002156.XSHE,通富微电,21.3,33.9,18.1
600487.XSHG,亨通光电,12.1,23.5,11.0
002439.XSHE,启明星辰,31.7,47.7,27.6
002422.XSHE,科伦药业,21.1,32.8,17.7
002797.XSHE,第一创业,7.8,12.6,7.4
601162.XSHG,天风证券,5.1,10.4,4.6
002385.XSHE,大北农,8.1,12.8,7.6
688065.XSHG,凯赛生物,83.0,198.0,74.5
603707.XSHG,健友股份,38.4,60.0,30.0
600482.XSHG,中国动力,16.9,27.5,15.6
000987.XSHE,越秀金控,13.6,26.9,12.7
000656.XSHE,金科股份,7.0,11.3,6.5
000977.XSHE,浪潮信息,26.0,48.5,24.4
601108.XSHG,财通证券,11.1,18.3,10.2
600517.XSHG,国网英大,7.1,9.0,5.2
300558.XSHE,贝达药业,102.3,160.7,88.6
601231.XSHG,环旭电子,19.6,28.3,16.2
000785.XSHE,居然之家,7.2,12.4,6.5
600352.XSHG,浙江龙盛,14.4,19.9,10.9
601216.XSHG,君正集团,5.7,11.4,4.2
300003.XSHE,乐普医疗,27.8,47.0,26.1
002602.XSHE,世纪华通,7.2,15.0,5.8
600183.XSHG,生益科技,23.9,36.3,21.2
688009.XSHG,中国通号,5.7,14.7,5.2
300142.XSHE,沃森生物,42.9,95.9,33.6
002049.XSHE,紫光国微,109.3,160.8,92.0
600606.XSHG,绿地控股,5.6,9.5,5.1
603087.XSHG,甘李药业,129.7,203.9,104.0
601788.XSHG,光大证券,16.1,31.1,14.8
001979.XSHE,招商蛇口,12.1,20.8,11.4
601800.XSHG,中国交建,7.0,11.4,6.5
600745.XSHG,闻泰科技,97.4,171.7,90.1
601138.XSHG,工业富联,14.1,20.7,12.3
