code,display_name,price,high,low
600373.XSHG,中文传媒,10.5,18.1,9.1
601827.XSHG,三峰环境,8.4,12.0,6.8
300775.XSHE,三角防务,27.4,55.9,20.6
002436.XSHE,兴森科技,9.5,17.9,7.9
300674.XSHE,宇信科技,34.0,69.5,27.2
601512.XSHG,中新集团,9.4,16.5,8.8
000818.XSHE,航锦科技,20.2,36.8,17.6
002468.XSHE,申通快递,9.3,30.5,8.8
300815.XSHE,玉禾田,104.8,151.3,75.3
601609.XSHG,金田铜业,9.9,15.7,9.2
300315.XSHE,掌趣科技,5.4,10.1,4.7
600812.XSHG,华北制药,8.9,20.2,8.4
002268.XSHE,卫士通,17.4,33.7,15.5
300768.XSHE,迪普科技,36.9,58.5,34.6
603520.XSHG,司太立,58.4,98.5,52.9
300058.XSHE,蓝色光标,6.4,9.9,5.5
000016.XSHE,深康佳A,6.1,13.5,5.7
688001.XSHG,华兴源创,34.3,78.3,29.9
000997.XSHE,新大陆,14.4,21.8,12.7
002191.XSHE,劲嘉股份,9.7,15.2,8.1
603533.XSHG,掌阅科技,33.8,58.2,29.8
300761.XSHE,立华股份,37.2,78.0,29.8
000156.XSHE,华数传媒,8.4,13.1,7.8
688298.XSHG,东方生物,127.9,284.2,120.3
300682.XSHE,朗新科技,15.2,23.9,12.2
300737.XSHE,科顺股份,23.8,32.2,19.2
300748.XSHE,金力永磁,35.4,75.7,26.1
000990.XSHE,诚志股份,13.2,26.2,10.4
600648.XSHG,外高桥,14.3,23.0,12.9
000672.XSHE,上峰水泥,20.0,32.0,16.6
000877.XSHE,天山股份,16.1,25.3,13.1
300296.XSHE,利亚德,6.9,9.4,5.1
601778.XSHG,晶科科技,6.8,10.5,5.7
600566.XSHG,济川药业,20.1,35.6,18.4
600667.XSHG,太极实业,8.5,16.0,7.5
688366.XSHG,昊海生科,102.0,204.9,84.0
300702.XSHE,天宇股份,97.9,129.6,75.5
688016.XSHG,心脉医疗,275.9,373.8,197.5
002110.XSHE,三钢闽光,7.3,11.0,6.1
600126.XSHG,杭钢股份,5.6,10.8,4.9
600131.XSHG,国网信通,16.3,26.3,13.2
300861.XSHE,美畅股份,52.6,85.0,43.2
600271.XSHG,航天信息,11.4,27.5,10.3
002626.XSHE,金达威,36.2,64.5,29.5
600201.XSHG,生物股份,20.3,31.1,18.5
603983.XSHG,丸美股份,55.7,92.5,44.6
002065.XSHE,东华软件,7.6,17.6,6.9
002242.XSHE,九阳股份,29.4,46.0,27.5
002465.XSHE,海格通信,10.1,16.0,8.7
002127.XSHE,南极电商,9.2,24.4,8.7
688029.XSHG,南微医学,190.4,283.0,162.0
002081.XSHE,金螳螂,9.2,13.5,7.9
600167.XSHG,联美控股,10.9,16.0,9.5
002152.XSHE,广电运通,10.4,16.3,8.4
603444.XSHG,吉比特,342.8,671.6,296.3
000975.XSHE,银泰黄金,9.1,14.8,7.7
300070.XSHE,碧水源,8.0,11.8,6.8
600988.XSHG,赤峰黄金,15.4,25.4,13.8
600380.XSHG,健康元,12.9,22.5,11.4
600867.XSHG,通化东宝,12.5,19.1,9.9
002156.XSHE,通富微电,19.2,33.9,18.1
002399.XSHE,海普瑞,17.6,30.7,16.2
002966.XSHE,苏州银行,7.8,14.7,7.4
300482.XSHE,万孚生物,80.0,111.0,64.1
002608.XSHE,江苏国信,7.1,10.5,5.9
002019.XSHE,亿帆医药,21.2,34.4,16.7
300383.XSHE,光环新网,17.7,31.5,15.8
600415.XSHG,小商品城,5.1,8.4,4.4
300418.XSHE,昆仑万维,23.3,31.1,18.5
002146.XSHE,荣盛发展,6.5,10.1,6.0
600487.XSHG,亨通光电,12.0,23.5,11.0
002439.XSHE,启明星辰,32.5,47.7,27.6
600827.XSHG,百联股份,16.6,28.9,12.4
603156.XSHG,养元饮品,24.9,31.1,18.5
000723.XSHE,美锦能源,7.2,20.1,5.8
002422.XSHE,科伦药业,22.4,32.8,17.7
002945.XSHE,华林证券,12.4,21.4,11.8
688065.XSHG,凯赛生物,80.1,198.0,74.5
601162.XSHG,天风证券,5.2,10.4,4.6
600482.XSHG,中国动力,16.6,28.1,15.6
601872.XSHG,招商轮船,5.2,8.4,4.4
002385.XSHE,大北农,8.6,12.8,7.6
000656.XSHE,金科股份,6.9,11.3,6.5
601231.XSHG,环旭电子,17.3,28.3,16.2
000987.XSHE,越秀金控,14.7,26.9,12.7
000977.XSHE,浪潮信息,28.1,48.5,24.4
601108.XSHG,财通证券,11.7,18.3,10.2
300558.XSHE,贝达药业,105.7,160.7,88.6
601298.XSHG,青岛港,6.7,10.3,5.2
601216.XSHG,君正集团,5.2,11.4,4.2
601878.XSHG,浙商证券,13.6,21.2,12.1
600352.XSHG,浙江龙盛,14.6,21.7,10.9
000785.XSHE,居然之家,7.4,12.4,6.5
300003.XSHE,乐普医疗,28.5,47.0,26.1
688009.XSHG,中国通号,5.7,14.7,5.2
002049.XSHE,紫光国微,100.0,160.8,92.0
600606.XSHG,绿地控股,5.5,9.5,5.1
603087.XSHG,甘李药业,124.0,203.9,104.0
600918.XSHG,中泰证券,14.2,23.1,13.0
001979.XSHE,招商蛇口,12.6,21.6,11.4
601881.XSHG,中国银河,10.6,16.9,10.1
601800.XSHG,中国交建,7.0,13.7,6.5
600745.XSHG,闻泰科技,98.2,171.7,90.1
601766.XSHG,中国中车,6.1,9.1,5.2
601138.XSHG,工业富联,13.9,20.7,12.3
