代码,名称,当前市值(亿元),目标市值(亿元),目标估值,近年平均利润(亿元),加权年数
000823.XSHE,超声电子,54.0,97.3,32.1,2.1,5
000878.XSHE,云南铜业,235.6,646.9,96.6,2.5,5
000885.XSHE,城发环境,64.0,510.8,81.8,3.8,5
000900.XSHE,现代投资,68.5,160.9,16.5,8.4,5
000906.XSHE,浙商中拓,48.4,263.6,49.2,2.5,5
000910.XSHE,大亚圣象,81.9,163.7,22.8,5.9,5
000921.XSHE,海信家电,212.4,543.8,30.3,13.7,5
000936.XSHE,华西股份,50.7,284.4,50.6,3.5,5
000938.XSHE,紫光股份,561.1,1284.7,69.7,12.2,5
000951.XSHE,中国重汽,320.2,482.6,39.4,7.4,5
000961.XSHE,中南建设,275.9,2870.9,69.0,15.3,5
000967.XSHE,盈峰环境,271.7,949.9,69.8,6.0,5
000983.XSHE,山西焦煤,202.4,1192.3,69.7,11.3,5
000987.XSHE,越秀金控,399.4,3228.3,70.0,12.9,6
001979.XSHE,招商蛇口,1006.3,2659.1,21.7,117.0,6
002010.XSHE,传化智联,242.4,461.7,28.8,8.0,5
002016.XSHE,世荣兆业,50.7,653.4,74.1,5.5,5
002020.XSHE,京新药业,79.7,160.3,30.8,3.0,5
002034.XSHE,旺能环境,80.5,267.4,65.0,2.0,5
002035.XSHE,华帝股份,66.1,255.7,34.2,4.9,5
002043.XSHE,兔宝宝,84.9,146.8,37.2,2.9,5
002048.XSHE,宁波华翔,115.2,477.1,48.6,6.8,5
002078.XSHE,太阳纸业,412.6,690.8,31.7,16.3,5
002080.XSHE,中材科技,424.7,877.3,42.8,9.7,6
002087.XSHE,新野纺织,29.2,67.0,24.0,2.6,5
002088.XSHE,鲁阳节能,68.4,162.2,47.7,2.0,5
002091.XSHE,江苏国泰,108.8,345.3,36.5,7.0,5
002092.XSHE,中泰化学,198.8,407.7,118.8,14.0,5
002120.XSHE,韵达股份,446.5,3344.7,126.4,16.3,5
002127.XSHE,南极电商,234.4,635.2,52.7,6.2,5
002128.XSHE,露天煤业,194.7,1006.6,40.8,15.2,5
002139.XSHE,拓邦股份,137.6,224.2,42.0,2.5,6
002146.XSHE,荣盛发展,283.9,3219.5,35.3,58.0,5
002171.XSHE,楚江新材,100.8,233.3,50.6,3.0,5
002182.XSHE,云海金属,67.0,935.0,102.7,3.2,5
002203.XSHE,海亮股份,173.9,249.0,23.4,7.4,5
002217.XSHE,合力泰,105.3,460.9,42.7,9.4,5
002221.XSHE,东华能源,201.8,296.3,26.8,8.3,5
002226.XSHE,江南化工,88.9,256.3,57.4,2.1,6
002233.XSHE,塔牌集团,147.2,611.7,34.3,11.3,6
002243.XSHE,力合科创,114.0,654.5,111.3,2.1,6
002244.XSHE,滨江集团,144.4,248.2,15.2,13.9,5
002258.XSHE,利尔化学,130.4,202.7,33.1,3.7,6
002303.XSHE,美盈森,56.0,130.7,24.4,3.5,5
002322.XSHE,理工环科,45.5,89.2,28.6,2.2,5
002352.XSHE,顺丰控股,3850.2,11904.9,162.5,44.4,6
002384.XSHE,东山精密,320.3,638.2,90.8,4.4,5
002440.XSHE,闰土股份,113.2,250.7,18.3,10.0,5
002449.XSHE,国星光电,52.6,104.2,25.5,3.1,5
002462.XSHE,嘉事堂,41.5,81.9,21.8,2.7,5
002463.XSHE,沪电股份,284.2,2393.8,198.5,4.2,5
002468.XSHE,申通快递,143.7,3243.2,230.3,12.4,5
002543.XSHE,万和电气,60.4,110.0,18.4,4.5,5
002545.XSHE,东方铁塔,90.6,131.6,43.2,2.4,5
002555.XSHE,三七互娱,496.8,806.0,38.1,12.6,5
002601.XSHE,龙蟒佰利,627.1,2403.8,92.7,15.9,5
002602.XSHE,世纪华通,554.5,1054.7,46.2,9.9,5
002607.XSHE,中公教育,1713.3,2983.2,165.3,6.2,5
002624.XSHE,完美世界,375.6,662.9,44.1,12.3,5
002697.XSHE,红旗连锁,82.7,147.5,28.6,2.7,5
002746.XSHE,仙坛股份,60.8,1185.8,118.5,3.5,5
002755.XSHE,奥赛康,133.4,902.6,115.6,3.0,5
002768.XSHE,国恩股份,74.3,180.3,45.5,2.2,5
002793.XSHE,罗欣药业,150.0,352.6,55.6,2.1,5
002798.XSHE,帝欧家居,74.0,369.8,65.3,2.2,5
002916.XSHE,深南电路,450.1,698.0,48.8,7.1,6
002955.XSHE,鸿合科技,51.4,173.3,55.2,2.3,4
002958.XSHE,青农商行,248.9,386.3,13.7,22.3,5
300031.XSHE,宝通科技,66.5,121.7,39.9,2.0,5
300038.XSHE,ST数知,32.8,369.2,64.1,3.7,5
300058.XSHE,蓝色光标,149.0,462.0,65.0,4.1,5
300088.XSHE,长信科技,188.3,286.5,33.9,5.4,5
300136.XSHE,信维通信,266.6,415.4,40.7,7.3,5
300230.XSHE,永利股份,33.6,73.6,27.9,2.4,5
300232.XSHE,洲明科技,85.8,217.7,41.1,3.0,5
300284.XSHE,苏交科,56.2,169.5,23.4,5.0,5
300308.XSHE,中际旭创,268.7,780.1,151.9,2.6,5
300349.XSHE,金卡智能,51.9,183.1,43.6,2.9,5
300383.XSHE,光环新网,273.3,442.4,53.7,4.8,5
300388.XSHE,节能国祯,62.3,128.0,39.2,2.0,5
300418.XSHE,昆仑万维,280.4,403.5,31.2,8.5,5
300423.XSHE,昇辉科技,61.5,434.3,73.2,2.3,5
300428.XSHE,四通新材,82.0,230.1,52.7,2.1,5
300677.XSHE,英科医疗,584.3,8660.5,123.6,12.8,6
300682.XSHE,朗新科技,155.6,765.8,75.1,3.0,5
300702.XSHE,天宇股份,186.0,400.4,68.4,2.0,5
300735.XSHE,光弘科技,92.3,172.3,40.1,2.3,5
600000.XSHG,浦发银行,3164.2,4763.9,8.1,545.6,5
600015.XSHG,华夏银行,995.6,1755.4,8.0,202.3,5
600016.XSHG,民生银行,2289.8,4380.8,8.1,495.8,5
600019.XSHG,宝钢股份,1901.8,8708.2,70.1,126.3,5
600028.XSHG,中国石化,5157.6,9978.3,17.3,500.8,5
600031.XSHG,三一重工,3035.6,16332.8,145.7,39.5,5
600033.XSHG,福建高速,73.0,111.6,13.5,6.9,5
600048.XSHG,保利地产,1736.8,6362.7,22.8,174.5,5
600051.XSHG,宁波联合,26.3,80.8,25.3,2.7,5
600057.XSHG,厦门象屿,135.9,395.9,35.8,7.1,5
600064.XSHG,南京高科,125.2,401.2,21.8,11.0,5
600090.XSHG,*ST济堂,26.6,75.2,61.8,3.3,5
600093.XSHG,易见股份,87.8,234.8,26.5,6.9,5
600153.XSHG,建发股份,242.5,799.6,17.1,36.3,5
600161.XSHG,天坛生物,411.3,811.1,132.7,5.1,5
600167.XSHG,联美控股,249.2,958.5,60.2,9.4,5
600170.XSHG,上海建工,269.8,825.7,21.0,26.5,5
600173.XSHG,卧龙地产,30.9,297.3,58.2,3.1,5
600188.XSHG,兖州煤业,611.1,5526.3,63.8,52.5,5
600210.XSHG,紫江企业,76.9,208.8,36.9,4.0,6
600233.XSHG,圆通速递,353.9,1848.3,110.8,12.9,5
600258.XSHG,首旅酒店,258.2,527.6,59.6,5.4,5
600260.XSHG,凯乐科技,88.2,470.3,53.8,5.6,5
600266.XSHG,城建发展,111.2,268.8,12.9,15.3,5
600273.XSHG,嘉化能源,130.8,218.2,17.8,9.4,5
600277.XSHG,亿利洁能,86.6,468.8,52.1,5.2,5
600295.XSHG,鄂尔多斯,235.5,616.3,46.0,6.6,5
600308.XSHG,华泰股份,70.1,443.1,65.1,4.6,5
600325.XSHG,华发股份,131.5,1016.6,36.5,16.8,5
600326.XSHG,西藏天路,65.6,126.9,29.3,3.2,5
600340.XSHG,华夏幸福,261.8,4373.8,29.9,92.9,5
600348.XSHG,华阳股份,118.3,1492.8,87.8,11.6,5
600352.XSHG,浙江龙盛,484.7,984.4,19.6,32.4,5
600373.XSHG,中文传媒,139.3,263.6,15.3,14.3,5
600378.XSHG,昊华科技,220.6,366.4,69.8,2.4,5
600382.XSHG,广东明珠,45.0,88.1,23.7,2.9,5
600383.XSHG,金地集团,570.2,3101.2,30.8,69.0,5
600389.XSHG,江山股份,64.0,300.9,100.3,2.0,5
600395.XSHG,盘江股份,112.5,1320.0,121.0,6.3,5
600420.XSHG,现代制药,94.7,192.4,29.3,5.2,5
600449.XSHG,宁夏建材,74.3,925.9,96.0,4.3,6
600461.XSHG,洪城水业,64.3,126.4,25.9,3.0,5
600466.XSHG,蓝光发展,131.7,1344.0,38.9,17.5,5
600475.XSHG,华光环能,76.7,166.8,37.1,3.0,5
600491.XSHG,龙元建设,80.3,437.5,42.9,6.2,5
600502.XSHG,安徽建工,67.1,214.7,26.3,5.9,6
600507.XSHG,方大特钢,188.4,1499.0,70.0,16.8,6
600508.XSHG,上海能源,67.5,712.3,124.0,4.4,5
600510.XSHG,黑牡丹,69.5,223.4,28.6,5.2,5
600516.XSHG,方大炭素,341.4,2731.2,135.5,22.7,5
600528.XSHG,中铁工业,196.6,1016.4,62.5,9.6,5
600565.XSHG,迪马股份,79.4,544.1,30.2,10.3,6
600566.XSHG,济川药业,180.2,385.9,23.8,12.3,5
600567.XSHG,山鹰国际,164.1,687.6,50.5,14.3,5
600575.XSHG,淮河能源,85.5,351.8,40.0,4.6,5
600577.XSHG,精达股份,70.9,111.2,26.6,3.3,6
600585.XSHG,海螺水泥,2738.7,13407.2,39.9,190.6,5
600606.XSHG,绿地控股,683.9,3161.5,21.4,98.5,5
600611.XSHG,大众交通,88.9,185.4,18.9,7.6,5
600619.XSHG,海立股份,63.0,108.6,38.0,2.2,5
600639.XSHG,浦东金桥,137.8,251.0,23.1,7.8,5
600643.XSHG,爱建集团,119.2,315.4,23.9,9.0,5
600655.XSHG,豫园股份,402.3,1180.0,36.8,16.4,5
600657.XSHG,信达地产,114.9,622.9,26.9,14.4,5
600663.XSHG,陆家嘴,436.9,703.0,19.1,29.4,5
600665.XSHG,天地源,26.9,86.6,20.4,3.1,5
600667.XSHG,太极实业,182.4,606.3,97.4,3.7,5
600668.XSHG,尖峰集团,48.4,248.2,34.3,4.3,5
600673.XSHG,东阳光,153.7,746.3,67.1,5.9,5
600694.XSHG,大商股份,63.2,99.8,11.2,8.2,5
600702.XSHG,ST舍得,232.2,709.7,139.7,2.2,5
600704.XSHG,物产中大,246.5,535.2,19.6,21.8,5
600713.XSHG,南京医药,44.4,77.1,22.2,2.4,5
600720.XSHG,祁连山,113.0,667.9,46.5,7.1,6
600728.XSHG,佳都科技,115.9,251.2,36.9,2.9,5
600729.XSHG,重庆百货,126.2,264.2,26.8,6.4,5
600737.XSHG,中粮糖业,198.3,319.3,55.1,4.8,5
600751.XSHG,海航科技,64.4,110.5,21.2,3.9,5
600755.XSHG,厦门国贸,129.8,781.4,33.8,16.2,5
600757.XSHG,长江传媒,64.8,191.6,24.4,6.1,5
600779.XSHG,水井坊,313.6,508.3,61.5,4.1,5
600782.XSHG,新钢股份,183.4,4403.4,129.0,26.0,5
600801.XSHG,华新水泥,482.8,8440.4,133.1,28.3,5
600820.XSHG,隧道股份,170.1,269.5,12.6,18.1,5
600828.XSHG,茂业商业,64.9,1006.2,79.9,8.3,5
600846.XSHG,同济科技,65.2,215.7,35.5,3.0,5
600848.XSHG,上海临港,387.8,623.2,46.3,5.7,5
600901.XSHG,江苏租赁,169.6,343.1,21.7,10.8,5
600919.XSHG,江苏银行,946.7,2047.8,14.0,119.3,5
600985.XSHG,淮北矿业,245.5,3773.7,104.0,15.0,5
600987.XSHG,航民股份,60.0,101.4,13.8,6.0,5
600995.XSHG,文山电力,37.2,104.1,31.3,2.1,5
601000.XSHG,唐山港,149.3,234.3,13.2,14.7,5
601009.XSHG,南京银行,1017.7,2143.2,17.2,96.9,5
601019.XSHG,山东出版,124.6,222.7,14.4,12.9,5
601058.XSHG,赛轮轮胎,245.6,585.3,49.0,5.5,5
601077.XSHG,渝农商行,492.9,1003.2,10.3,89.2,4
601128.XSHG,常熟银行,217.9,322.6,18.1,13.1,5
601137.XSHG,博威合金,89.0,216.7,49.2,2.7,5
601155.XSHG,新城控股,1075.8,6594.7,52.1,68.1,5
601166.XSHG,兴业银行,4852.9,6968.9,10.6,575.5,5
601169.XSHG,北京银行,1014.9,2133.6,10.0,189.6,5
601186.XSHG,中国铁建,1067.4,2992.8,14.8,161.7,5
601216.XSHG,君正集团,458.2,730.0,29.3,18.7,5
601229.XSHG,上海银行,1238.8,2905.8,14.3,161.9,5
601233.XSHG,桐昆股份,467.6,2752.4,95.4,16.0,5
601288.XSHG,农业银行,11864.4,17539.6,8.3,1944.7,5
601298.XSHG,青岛港,441.4,745.4,19.7,29.0,5
601318.XSHG,中国平安,14633.3,32286.7,22.6,1009.3,6
601328.XSHG,交通银行,3475.5,6214.8,8.0,709.7,5
601336.XSHG,新华保险,1532.9,2344.1,16.1,82.8,5
601390.XSHG,中国中铁,1437.4,4516.2,19.1,163.4,5
601512.XSHG,中新集团,141.3,224.8,20.7,8.7,4
601567.XSHG,三星医疗,93.0,185.8,17.9,7.6,5
601577.XSHG,长沙银行,375.7,925.1,18.2,38.8,5
601588.XSHG,北辰实业,77.8,446.6,27.0,10.4,5
601598.XSHG,中国外运,341.9,516.6,18.4,23.1,5
601636.XSHG,旗滨集团,348.7,754.4,56.0,9.4,5
601658.XSHG,邮储银行,5114.3,9892.2,16.2,501.8,4
601668.XSHG,中国建筑,2161.2,6262.1,15.0,338.0,5
601677.XSHG,明泰铝业,135.5,409.0,44.6,4.4,5
601717.XSHG,郑煤机,204.1,986.5,94.8,4.5,5
601778.XSHG,晶科科技,178.7,514.2,70.6,6.0,4
601800.XSHG,中国交建,1155.8,2026.5,10.1,185.6,5
601811.XSHG,新华文轩,111.5,193.3,17.0,8.6,5
601818.XSHG,光大银行,2220.7,3666.0,9.8,324.8,5
601838.XSHG,成都银行,421.5,1084.4,19.5,39.0,5
601860.XSHG,紫金银行,142.4,227.3,16.0,11.4,5
601900.XSHG,南方传媒,72.2,141.0,19.2,5.6,5
601916.XSHG,浙商银行,882.7,1450.1,11.2,113.8,4
601958.XSHG,金钼股份,195.2,459.0,80.7,2.3,5
601992.XSHG,金隅集团,315.0,659.6,17.9,29.0,5
601997.XSHG,贵阳银行,268.1,1013.9,17.5,44.7,5
601998.XSHG,中信银行,2608.2,3903.6,8.1,435.8,5
603018.XSHG,华设集团,65.0,162.9,31.4,3.2,5
603113.XSHG,金能科技,163.1,442.1,58.0,6.4,5
603160.XSHG,汇顶科技,507.0,1128.3,48.7,10.4,5
603165.XSHG,荣晟环保,34.0,78.3,31.4,2.1,5
603167.XSHG,渤海轮渡,42.0,99.1,24.2,3.1,5
603279.XSHG,景津环保,86.5,131.4,31.8,2.6,4
603357.XSHG,设计总院,41.2,75.7,23.3,2.8,5
603365.XSHG,水星家纺,39.7,74.3,23.5,2.4,5
603367.XSHG,辰欣药业,60.2,107.2,20.8,3.8,5
603368.XSHG,柳药股份,78.1,218.6,31.9,4.3,5
603385.XSHG,惠达卫浴,44.9,92.0,29.9,2.3,6
603458.XSHG,勘设股份,40.4,160.0,37.2,2.8,5
603565.XSHG,中谷物流,211.1,312.8,36.5,6.0,3
603609.XSHG,禾丰牧业,111.8,428.4,35.7,5.9,5
603610.XSHG,麒盛科技,55.8,400.6,101.4,2.1,4
603776.XSHG,永安行,37.3,224.8,44.9,2.7,5
603808.XSHG,歌力思,46.6,79.9,22.4,2.8,5
603869.XSHG,新智认知,43.3,63.6,29.6,2.2,5
603871.XSHG,嘉友国际,47.5,111.1,32.4,2.1,5
603898.XSHG,好莱客,55.4,82.2,22.5,3.0,5
688036.XSHG,传音控股,1616.8,2441.9,136.2,8.0,4
688057.XSHG,金达莱,99.7,155.0,40.1,2.2,5
