代码,名称,当前市值(亿元),目标市值(亿元),目标估值,近年平均利润(亿元),加权年数
601058.XSHG,赛轮轮胎,281.9,427.3,49.0,5.5,5
601137.XSHG,博威合金,84.5,174.3,49.2,2.7,5
601155.XSHG,新城控股,1128.0,5552.4,47.3,82.1,6
601169.XSHG,北京银行,1010.6,2010.3,10.0,189.6,5
601186.XSHG,中国铁建,1095.9,2968.3,15.0,172.0,6
601229.XSHG,上海银行,1230.3,2612.1,14.3,161.9,5
601318.XSHG,中国平安,14419.5,27529.8,22.6,1009.3,6
601328.XSHG,交通银行,3601.7,5828.2,7.7,721.9,6
601390.XSHG,中国中铁,1425.1,3817.4,17.8,178.2,6
601512.XSHG,中新集团,139.1,202.8,20.7,8.7,4
601567.XSHG,三星医疗,91.8,160.9,17.9,7.6,5
601577.XSHG,长沙银行,410.6,816.0,18.2,38.8,5
601658.XSHG,邮储银行,5238.2,8808.7,15.0,529.9,5
601668.XSHG,中国建筑,2182.2,5657.9,15.0,338.0,5
601677.XSHG,明泰铝业,128.0,327.2,40.5,5.5,6
601811.XSHG,新华文轩,124.1,183.6,16.8,9.3,6
601818.XSHG,光大银行,2172.1,3279.7,9.2,333.7,6
601838.XSHG,成都银行,395.5,923.2,19.5,39.0,5
601860.XSHG,紫金银行,140.2,204.7,16.0,11.4,5
601886.XSHG,江河集团,86.1,184.2,25.3,5.1,6
601900.XSHG,南方传媒,69.2,124.3,19.2,5.6,5
601997.XSHG,贵阳银行,261.9,897.5,17.5,44.7,5
603018.XSHG,华设集团,64.1,136.8,29.0,3.6,6
603167.XSHG,渤海轮渡,40.6,87.4,24.2,3.1,5
603357.XSHG,设计总院,42.4,72.7,22.2,2.9,6
603365.XSHG,水星家纺,38.3,65.2,23.5,2.4,5
603367.XSHG,辰欣药业,59.5,92.7,20.8,3.8,5
603368.XSHG,柳药股份,80.5,164.6,27.7,4.8,6
603385.XSHG,惠达卫浴,44.3,80.8,29.9,2.3,6
603458.XSHG,勘设股份,40.0,144.9,35.0,3.2,6
603609.XSHG,禾丰股份,110.6,296.3,30.6,7.0,6
603808.XSHG,歌力思,47.8,70.9,22.4,2.8,5
603869.XSHG,新智认知,42.5,64.5,29.6,2.2,5
603871.XSHG,嘉友国际,47.7,90.1,32.4,2.1,5
605009.XSHG,豪悦护理,151.8,349.3,78.1,2.9,4
